Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/torremolinos-casas-campestres/4212-C00009-01,,$1.040.000.000,3,5 o más,,
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-casas-3/1572-C00012-01,,$1.295.000.000,4,5 o más,,
,http://www.metrocuadrado.com/proyecto/camino-del-bosque/5449-C00003-01,,$3.900.000.000,4,5 o más,,
Casa en Venta; Bogotá D.C.; SANTA BARBARA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-molinos-norte-5-habitaciones-5-banos-4-garajes/438-M1969289,,$1.900.000.000,5 o más,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; CANTALEJO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-britalia-4-habitaciones-3-banos-1-garajes/4623-M1969134,,$350.000.000,4,3,,1
Casa en Venta; Bogotá D.C.; CEDITOS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-ciudad-jardin-norte-4-habitaciones-5-banos-2-garajes/5034-M1969266,,$950.000.000,4,5 o más,,2
Casa en Venta; Bogotá D.C.; CANTALEJO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-britalia-4-habitaciones-3-banos-1-garajes/4623-M1969127,,$350.000.000,4,3,,1
Casa en Venta; Bogotá D.C.; CEDRITOS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-villas-del-mediterraneo-3-habitaciones-3-banos-2-garajes/4623-M1969157,,$305.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; EL POLO CLUB,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-polo-club-5-habitaciones-5-banos-2-garajes/3312-M1969268,,$950.000.000,5 o más,5 o más,,2
Casa en Venta; Bogotá D.C.; ANDES,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-los-andes-3-habitaciones-4-banos-2-garajes/433-M1969314,,$800.000.000,3,4,,2
Casa en Venta; Bogotá D.C.; CEDRITOS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-ciudad-jardin-norte-4-habitaciones-4-banos-2-garajes/5034-M1969246,,$680.000.000,4,4,,2
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-3-habitaciones-4-banos-3-garajes/433-M1969160,,$1.350.000.000,3,4,,3
Casa en Venta; Bogotá D.C.; Venecia,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-venecia-5-habitaciones-2-banos-1-garajes/2800-M1969068,,$360.000.000,5 o más,2,,1
Casa en Venta; Bogotá D.C.; LISBOA SECTOR COUNTRY,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-el-contador-3-habitaciones-3-banos-2-garajes/2265-M1969316,,$720.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; IBERIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-prado-veraniego-norte-3-habitaciones-3-banos-4-garajes/603-M1969188,,$750.000.000,3,3,,4 o más
Casa en Venta; Bogotá D.C.; IBERIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-prado-veraniego-norte-4-habitaciones-5-banos-4-garajes/603-M1969173,,$880.000.000,4,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; CANTALEJO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-britalia-4-habitaciones-3-banos-1-garajes/4623-M1969141,,$350.000.000,4,3,,1
Casa en Venta; Bogotá D.C.; COASMEDAS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-4-habitaciones-3-banos-2-garajes/225-M1969035,,$1.300.000.000,4,3,,2
Casa en Venta; Bogotá D.C.; PROVIDENCIA ALTA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-zapatoza-i-4-habitaciones-2-banos-0-garajes/3222-M1969044,,$190.000.000,4,2,,
Casa en Venta; Bogotá D.C.; VILLA DEL PADRO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-5-habitaciones-4-banos-2-garajes/MC1969429,,$800.000.000,5 o más,4,,2
Casa en Venta; Bogotá D.C.; villa prado,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-villa-del-prado-4-habitaciones-3-banos-2-garajes/MC25632419,,$450.000.000,4,3,,2
