"231-2901-02",2018
"231-2901-03",2018
"231-2903-02",1398
"231-3001-01",985
"231-3001-03",683
"231-3002-18",2018
"231-3002-19",2018
"231-3002-14",2114
"231-3002-15",2114
"231-3002-10",2924
"231-3002-11",2924
"231-3002-02",2463
"231-3002-03",2463
"231-3002-06",2463
"231-3002-07",2463
"231-3004-02",1971
"231-3004-10",1573
"231-3004-04",1971
"231-3004-05",1923
"231-3005-02",795
"231-3007-04",985
"231-3007-02",906
"231-3007-05",906
"231-3022-01",2495
"231-3022-00",620
"231-3011-06",906
"231-3011-02",938
"231-3011-07",1033
"231-3012-02",906
"231-3015-01",1255
"231-3015-08",1271
"231-3018-08",795
"231-3018-04",938
"231-3018-01",1542
"231-3210-00",1446
"231-3203-02",2273
"231-3203-01",1653
"231-3204-00",2177
"231-3206-00",1971
"231-3212-00",2098
"231-3209-00",2082
"231-3101-01",556
"231-3102-01",1398
"231-3105-00",426
"231-3106-00",590
"231-3107-01",1208
"231-3108-01",715
"231-3108-00",599
"231-3109-01",1430
"231-3109-02",2130
"231-3115-02",629
"231-3110-00",715
"231-3112-07",954
"231-3112-03",1001
"231-3111-00",513
"231-3112-05",405
"231-3112-02",667
"231-3115-05",779
"231-3115-00",763
"231-3117-04",337
"231-3126-03",1859
"231-3126-00",2098
"231-3121-00",2304
"231-3132-00",1605
"221-9999-01",340
"221-9999-03",172
"221-9999-05",229
"214-0670-02",1101
"214-0670-03",1120
"214-0604-03",1401
"214-0610-00",2586
"214-0610-01",2353
"214-0614-11",606
"214-0665-01",530
"214-0622-03",6620
"214-0670-01",1024
"214-0666-00",3483
"214-0645-00",258
"214-0645-01",1599
"214-0663-02",2586
"214-0679-01",4682
"214-0610-02",2731
"214-0614-09",408
"214-0614-10",383
"214-0614-07",341
"214-0614-08",341
"214-0630-06",3830
"214-0663-01",4421
"517-9999-17",30
"517-9999-06",30
"517-9999-07",30
"232-1217-00",289
"232-2316-00",779
"232-3112-00",289
"232-3115-00",121
"232-0910-00",56
"233-0604-00",370
"233-0614-00",377
"233-0617-00",377
"233-0633-00",410
"233-0670-00",826
"233-1215-00",826
"233-1217-01",594
"233-1221-00",551
"233-1227-00",667
"233-1301-01",779
"233-1301-00",922
"233-1302-02",605
"233-3405-00",416
"233-1608-00",779
"233-2205-01",583
"233-2302-00",551
"233-2302-01",558
"233-2303-00",391
"233-2315-00",683
"233-2401-01",551
"233-2401-00",621
"233-3025-02",361
"233-3002-01",652
"233-3002-00",504
"233-3004-00",462
"233-3022-00",795
"233-3012-00",826
"233-3123-00",524
"233-0901-00",386
"233-0912-00",445
"233-0912-01",426
"233-0912-02",467
"233-1209-02",585
"233-1209-01",453
"233-1245-00",2702
"233-1302-01",574
"233-1302-00",667
"233-2205-00",1685
"233-2316-01",445
"233-2321-00",391
"233-2321-01",467
"233-0910-00",524
"233-0604-01",483
"233-0617-01",416
"233-1208-00",467
"233-2321-02",521
"233-2607-00",652
"233-3111-00",391
"233-3112-01",467
"233-3115-01",472
"232-2305-00",469
"233-2322-00",1017
"232-3903-00",1049
"233-1215-01",86
"023-0101-00",78
"023-0401-02",305
"023-0401-00",210
"023-0703-02",385
"023-0703-00",305
"023-0718-00",172
"023-0602-02",229
"023-0602-03",305
"023-0602-01",267
"023-0608-01",248
"023-0611-00",210
"023-0611-03",229
"023-0613-00",210
"023-0616-00",286
"023-0617-02",191
"023-0637-00",210
"023-0639-00",286
"023-0639-01",286
"023-0646-00",172
"023-0646-01",116
"023-0928-00",342
"023-0907-01",286
"023-0910-01",97
"023-0913-03",324
"023-0913-05",324
"023-1204-00",229
"023-1214-01",305
"023-1239-00",400
"023-1219-01",229
"023-1219-00",210
"023-1223-01",172
"023-1229-00",229
"023-1230-02",248
